"pointid","xcoord","ycoord"
141,1707288.1425,712314.482522662
142,1707539.4893,712706.103922661
143,1708314.9835,713274.948422665
144,1710050.8658,717006.397122658
145,1709658.9871,714711.806922665
146,1710667.2697,717701.891522666
147,1720635.8592,719858.514122662
148,1710823.7194,721369.963922664
149,1710714.2074,722277.199722663
150,1710942.3436,722916.279922662
151,1710967.8383,722998.109422662
152,1712922.177,723830.811022664
153,1718208.0607,724692.691522667
154,1720983.2638,724366.877722664
155,1724167.6223,726500.898522662
156,1725518.9208,726509.801722663
157,1732965.7568,731946.226422659
158,1713431.1221,725356.892022667
159,1714137.5979,728585.027822665
160,1714702.3243,728696.938022664
161,1718151.3227,730554.340222663
162,1721092.261,733584.245422661
163,1724721.6832,735652.289622665
164,1726426.1132,736500.242722662
165,1729456.3453,740413.379322665
166,1730194.3984,740571.810722661
167,1733999.5028,750971.253122664
168,1733249.4896,749868.382222662
169,1733328.7719,749521.864222664
170,1733672.8396,747598.875222662
171,1733670.5095,747461.924822663
172,1733678.2571,747586.933022664
173,1700625.5734,712077.80632267
174,1701600.6626,714161.926722664
175,1701631.6123,714949.984722658
176,1701835.8911,715540.822422665
177,1702062.9532,716052.852022664
178,1702757.5534,717945.783822661
179,1702767.5874,718480.129822662
180,1703240.5936,721100.283322664
181,1703091.9317,721882.261122663
182,1702624.8516,723500.017522665
183,1702167.9232,724747.83522266
184,1702188.3199,725745.713622665
185,1702097.8985,725015.264622665
186,1702174.489,724753.729622669
187,1698446.1461,710083.853322659
188,1698427.9136,709980.175922662
189,1698927.248,713580.802222666
190,1698295.1084,716330.982722663
191,1697908.1777,717148.920722664
192,1696313.2141,718176.775622661
193,1693811.656,720056.774022666
194,1686853.9674,708788.720522659
195,1686717.296,706442.621722673
196,1687045.8353,708914.833722664
197,1686819.0671,709826.311622657
198,1686532.0881,711421.387422659
199,1686517.6916,711557.075122665
200,1686624.2466,712515.782222664
201,1687259.2146,713480.937222669
202,1688486.6466,715390.468422665
203,1689652.6754,717950.861322662
204,1679456.4082,697767.507222665
205,1679339.3907,695779.128522667
206,1680966.155,698713.607322665
207,1681899.9891,702412.15542266
208,1681745.0564,703653.936022661
209,1681396.4486,704473.107422668
210,1680335.7571,706329.92532266
211,1678294.1001,709330.048922663
212,1678339.1251,709688.416222667
213,1677777.7898,692971.556522664
214,1678153.7102,693036.141522672
215,1674796.5125,691048.119022662
216,1674083.1929,690990.291822662
217,1673743.4049,690949.372822664
218,1672754.5774,690898.862822663
219,1672624.0441,691771.490322668
220,1673232.9057,694785.621122662
221,1672440.0197,696926.971722666
222,1672894.6241,698895.509422663
223,1673181.7504,700206.071322672
224,1673539.5167,700552.271622661
225,1673382.1436,703069.490922668
226,1673295.0314,703686.940822663
227,1672991.0556,704455.645522662
228,1673050.0072,704809.261322662
229,1673814.2065,705410.154922672
230,1674921.5451,705861.442722655
231,1674684.9649,709136.505722662
232,1675136.349,706645.031922664
233,1671800.8345,690388.885122665
234,1671243.963,689542.29632266
235,1670710.1138,688281.680422665
236,1671227.9,687053.535322665
237,1672153.1878,686029.250522658
238,1698725.8319,672228.026222666
239,1698964.7496,674560.540922664
240,1697518.1441,670671.271322664
241,1697118.4909,668347.375822664
242,1695208.9572,668655.19092266
243,1693734.487,668746.940922661
244,1691298.9575,667714.56802266
245,1689755.3799,667311.305322665
246,1688633.6188,668322.09852266
247,1686735.3646,668191.790422662
248,1686060.3079,668113.660522666
249,1684851.1748,668934.740922663
250,1684841.3319,669857.849922667
251,1699344.4009,680163.272722664
252,1700425.2712,676400.068922665
253,1700434.3332,676387.390922665
254,1724099.1514,742841.91182266
255,1724086.5896,743439.869122659
256,1701707.4138,679964.656722669
257,1702344.4913,676973.01542266
258,1702153.3344,682621.136022662
259,1717954.5975,679196.267622667
260,1717788.7271,679552.384822662
261,1714420.3574,673128.126722664
262,1669196.2013,703637.494922659
263,1690145.5441,701651.659122661
264,1690079.5845,701610.917022665
265,1690691.2559,702709.857222659
266,1690581.6837,702486.626622666
267,1691076.1196,703579.758922668
268,1692160.2209,704317.48582267
269,1692456.4638,704889.659522667
270,1692513.4237,705028.23022267
271,1692544.6856,705223.968622664
272,1692535.7279,710218.707022663
273,1715571.0805,733222.936422664
274,1713290.771,738502.654522664
275,1713116.8561,739008.770422663
276,1712647.1196,739586.955522668
277,1711125.6895,674653.545622659
278,1710865.6491,672124.923022665
279,1712273.6571,675080.234922664
280,1713734.903,675770.918722667
281,1714039.8893,676187.776422661
282,1716760.3311,680154.270722666
283,1724260.9152,666003.38662266
284,1724439.9251,665886.382422661
285,1724848.5867,666057.520122669
286,1725790.3622,665609.059222664
287,1726106.5353,665491.572822664
288,1728136.7458,665409.906422663
289,1716661.4284,737628.244122663
290,1724159.7247,672912.870422667
291,1724260.0518,675935.219722661
292,1690306.1106,709665.50252266
293,1687030.9174,706215.695922664
294,1690878.6826,711153.997322664
295,1690928.2812,717241.393522669
296,1690849.7966,717488.599022661
297,1671840.9837,691853.630722664
298,1670281.2674,693562.01292266
299,1669599.2218,694654.806022668
300,1668764.6105,697848.484622666
301,1727108.3995,677303.45512266
302,1727128.4128,681391.268422668
303,1703924.1055,681752.574822665
304,1706068.8687,675538.793322659
305,1706069.6542,675526.817522662
306,1703902.8341,682067.764822672
307,1703968.1615,682840.232422663
308,1703864.5259,683281.250622662
309,1695872.5737,710410.932622664
310,1692822.9548,713297.523422665
311,1681529.7824,686865.383022663
312,1681596.1342,687127.517022663
313,1681944.5683,687926.516022664
314,1681913.4941,687951.74232267
315,1679941.28,686171.026222663
316,1679865.2065,685615.02192267
317,1679550.806,685060.862822664
318,1678968.0981,684083.201822669
319,1680293.8812,681469.309522663
320,1681250.6387,710760.107422659
321,1708588.3399,730225.48402267
322,1708260.2801,730497.456722667
323,1674438.9829,696768.044922672
324,1723065.2774,646259.855522665
325,1722851.7768,645259.887722661
326,1723324.2989,647241.101822667
327,1722676.9327,649250.501922665
328,1722721.0578,652190.642822664
329,1723203.8835,656029.027422667
330,1722725.309,654017.678422665
331,1723320.3654,656485.859522668
332,1724487.0417,657558.186522668
333,1726365.7983,657985.679722668
334,1726775.1795,661973.446222667
335,1726506.3874,663253.899222666
336,1726018.6049,663970.396222665
337,1685484.7039,715188.181922664
338,1686060.3603,717361.992822663
339,1683771.8652,703005.674422665
340,1684354.4959,697925.33252266
341,1738759.8727,741888.675322666
342,1686592.9094,683728.745622662
343,1687291.7318,684965.171422662
344,1686462.551,683335.733022665
345,1685290.7519,682194.123322665
346,1684783.9124,681387.847922665
347,1683860.8115,680962.264422659
348,1683139.2218,680094.699922668
349,1683835.9862,680953.404322665
350,1682270.9567,678338.535422661
351,1714180.1722,660460.027422666
352,1715441.7068,660712.753822665
353,1713124.7455,660951.01242266
354,1711147.6773,661808.05662266
355,1708249.7097,664104.03562266
356,1711545.6015,665953.077122664
357,1712372.6603,667504.226122666
358,1712373.1549,667505.720322663
359,1709709.9697,666616.040322665
360,1707719.7796,666176.933022669
361,1706851.5961,667449.267522665
362,1692747.4869,672146.460322663
363,1691364.1686,672211.062422658
364,1692411.7501,671993.823522666
365,1691053.8216,672119.055022663
366,1690880.3055,672062.459622666
367,1690795.9379,672093.64792267
368,1690241.6632,672369.833222665
369,1689761.4849,672720.009222667
370,1689631.8192,673026.933722659
371,1689198.6453,673644.319722669
372,1707728.6355,672712.342222664
373,1708605.6103,673044.518722665
374,1706644.8944,673063.106222662
375,1705897.7764,672311.400722664
