"Site.ID","Mu_intercept","Mu_prec.conc","Mu_temp.conc","Mu_prec.lag","Mu_temp.lag","Sig_intercept","Sig_prec.conc","Sig_temp.conc","Sig_prec.lag","Sig_temp.lag","Nu_intercept","Nu_prec.conc","Nu_temp.conc"
"13135000",9.53698024448458,0.00832761256244322,0,0,-0.1193089070715,-0.97964269599832,0,0,0,0,0,0,0
"13338500",4.51964540488978,0.0207889241475536,0,0.0184414491362958,0,-0.734416233249413,0,0,0,0,0,0,0
"14162200",7.54036002861652,0.00137821185646505,0,0,0,0.630042439196622,-0.00687334003537124,0,0,0,0,0,0
"14321000",10.0990043238311,0.00609369052807235,0,0,0,-0.137686538389656,-0.00460871016736674,0,0,0,0,0,0
"AT_0000037",0.67994693456033,0,0,0.00569470830258782,0,-2.49067413354539,0,-0.286974978912282,0,0,0,0,0
"AT_0000156",2.01321557610301,0,0,0,0,-1.5331919199373,0,0,0,0,0,0,0
"BR_0000416",5.85674990669245,0.0030697028774876,0,0,0,1.37470579596968,-0.00895959962062796,0,0,0,0,0,0
"BR_0000688",1.77009812807937,0.0184729867929041,0,0,0,0.123133225427743,0,0,0,0,2.88882218066961,-0.0904358197110418,0
"BR_0000927",6.77841127734528,0.00346153658710154,0,0,0,0.0753615269449665,-0.00620645342833264,0,0,0,0,0,0
"BR_0001099",3.76374542998167,0,0,0,0,0.270197332554549,0,0,0,0,3.08269060374022,-0.0855684106121156,0
"BR_0001310",-1.18757175490629,0.00449755295467749,0,0,0.213645240171876,0.262046683640815,-0.00670565112664595,0,0,0,0,0,0
"BR_0001497",5.51973289509341,0.00263414470129817,0,0,0,-1.30239384420039,0,0,0,0,0,0,0
"BR_0001664",4.45072328429638,0.00356989036736556,0,0,0,-1.08731713046502,0,0,0,0,0,0,0
"BR_0001884",4.66836519894545,0.00319564771539701,0,0,0,-1.82372716857474,0,0,0,0,0,0,0
"BR_0002067",2.93892652798243,0.00541926334495194,0,0,0,-1.03695947812615,0,0,0,0,0,0,0
"BR_0002434",7.75197854840163,0.0057399053494424,0,0.00593000837769928,0,-1.73357505007933,0,0,0,0,0,0,0
